Product Name,Description,Domain
"LOGISTICS | MULTI ROLE DRONE (LMRD)","Interconnected cooperative drones capable of working together to overwhelm challenging tasks. Features include tear gas grenade drop, supply of medical equipment and ammunition, audio communication, area illumination, thermal surveillance, autonomous navigation, pan tilt zoom camera, and high pressure landing/take off.",Defence
"LOITERING MUNITION DRONE (LMD)","Munition dropping drone — riot control drone is a compact drone with a specific objective. Features include targeted impact, autonomous surveillance mission, and suicidal autonomous mission.",Defence
"INTERCEPTOR ANTI DRONES","Aimed to intercept rogue drones. Capabilities include close vicinity surveillance, kinetic strikes, drone interception, and decoys.",Defence
"ROOM INTERVENTION POCKET DRONE (RIPD)","Compact reconnaissance drone with ability to fly in GPS-denied regions. FPV view can be used for high dexterity manoeuvres or room intervention. Features include indoor navigation & surveillance and kinetic strikes.",Defence
"MULTI ROLE DRONE","Interconnected cooperative drones capable of working together to execute complex missions and dominate high-risk environments with precision and intelligence. Features include tear gas grenade drop, medical & ammunition supply delivery, audio communication, area illumination, thermal surveillance, autonomous navigation, pan tilt zoom camera surveillance, and high pressure landing/take-off.",Defence
"SWARM DRONES","Swarm drones operate as an intelligent interconnected network enabling coordinated mission execution through real-time communication, adaptive decision-making, and distributed control across multiple autonomous units. Key features include coordinated autonomous operation, real-time drone-to-drone communication, distributed task allocation, scalable multi-drone deployment, self-healing network, large area coverage, and collective decision making.",Defence
"ROOM INTERVENTION ROBOT (RIR)","Medium-weight unmanned all-terrain reconnaissance platform designed for deep penetration, surveillance, and ammunition support in hostile compromised and indoor environments. Features include reconnaissance, GPR enabled mine detection, explosive ordnance detection, cover fire support, and ammunition supply capability.",Defence
"SURVEILLANCE EVACUATION ARMED ROBOT (SEAR)","Heavy weight all-terrain unmanned rescue platform capable of evacuation, surveillance and providing a versatile multi-utility platform in hostile environment. Features include drone remote platform, reconnaissance, casualty evacuation during ambush, road clearance, explosive ordinance detection, cover fire, and supply of ammunition.",Defence
"AI ENABLED DRONE TRACKING SYSTEM","Advanced AI-powered anti-drone system that detects classifies and tracks aerial drones with continuous low-latency monitoring for perimeter security and threat neutralization. Features include multi-sensor detection (Radar, RF, EO/IR), AI classification and threat scoring, 360-degree coverage and auto tracking, and soft kill/hard kill integration.",Defence
"C3i - COMMAND CONTROL COMMUNICATE","AI based evidence management providing efficient critical data management including selective search and data mining. Features include selective face search, time logged data search, video recording, and pattern recognition.",Defence
"TELEOPERATED TURRET","Remote suspicious activity systems providing surveillance from a fixed point leading to reduced casualties and intruder intrusions. Features include pan tilt zoom, NLOS communication, thermal imaging, and laser range finder.",Defence
"RIOT CONTROL COMMAND VEHICLE (RCCV)","Capable of monitoring and controlling a riot situation, securing itself in any eventuality. Features include blockage clearance through hydraulic shovel, irritant gas dispersion, flat run tyres along with foaming system, omni directional turret, and drone take off and landing system.",Defence
"NATIONAL DISASTER RESCUE VEHICLE (NDRV)","Capable of rapidly reaching disaster sites and providing immediate rescue, medical support, and coordination in situations like earthquakes, floods, landslides, industrial accidents, and building collapses. Features include search & rescue with thermal cameras and life detectors, hydraulic cutters/spreaders/concrete breakers and lifting airbags, medical support with portable stretchers/oxygen/basic life support, satellite communication/wireless radio networks/GPS, and rescue gear including inflatable boats/rope rescue kits/climbing equipment.",Defence
"CHEMICAL BIOLOGICAL RADIOLOGICAL NUCLEAR VEHICLE (CBRN)","Designed to detect, monitor, and respond to Chemical, Biological, Radiological, and Nuclear hazards during disasters, industrial accidents, or terrorist incidents. Features include detection and monitoring systems for chemical/biological/radiation/nuclear, decontamination systems, protective equipment storage, command and communication, and laboratory/analysis/emergency medical kits.",Defence
"COMMAND CENTER VEHICLE (CCV)","Mobile headquarters providing communication, surveillance, and coordination capabilities during critical incidents. Features include satellite and multi-band radio communication systems, situation monitoring with large displays and live feeds, incident command workspace with tactical planning and digital mapping, surveillance and reconnaissance with telescopic mast cameras and thermal imaging/drone control, and power/backup systems with onboard generator and UPS.",Defence
"WEAPON LOADING TROLLEY (WLT)","Specialized trolleys engineered for safe efficient handling of armaments including missiles, bombs, rockets and ammunition pods with precise height adjustment and all-weather usability. Features include configurable load capacity (250kg-2000kg), hydraulic/electric lifting mechanism, 360-degree maneuverability with pneumatic wheels, safety locks and weapon restraints, ergonomic controls for ground crew, rugged aerospace-grade construction, corrosion resistance, and customization for aircraft and vehicle platforms.",Defence
"EXPANSION BASED PORTA CABINS","Expandable porta cabins designed for rapid deployment and easy transportation, allowing organizations to set up operational spaces where permanent infrastructure is unavailable or damaged. Features include expandable design that can expand 2-3 times transport size, container-like structures for easy truck transport, modular construction that can be connected, durable steel frame with insulated panels, and utilities integration with electrical, AC, ventilation, water and sanitation.",Defence
"MOBILE ANTI DRONE | DRONE LAUNCH VEHICLE","Provides mobile airspace security by identifying suspicious drones and preventing them from entering restricted zones. Features include RF scanners, radar systems for low-altitude targets, acoustic and optical sensors, thermal cameras for night detection, AI-based drone recognition, real-time tracking, RF signal jammers, GPS spoofing, directed energy countermeasures, drone capture systems, mobile command interface, and 4x4 tactical vehicle mounting for rough terrain.",Defence
"Perimeter Security System (PSS)","Enables security within a particular area via perimeter monitoring, aerial surveillance and real-time internal surveillance. Includes perimeter surveillance devices, real-time monitoring dashboard and evidence management, aerial surveillance, and AI-enabled suspicious activity detection.",Defence
"Smart BP Jacket | IECS (SBPJ)","Combines the power of IECS, medical wearable and advanced materials to protect, map and monitor health parameters in real time giving the commander and soldier an added advantage. Features include biometric feedback, climate control, and location tracking.",Defence
"REMOTE OPERATED SYSTEMS","Remote suspicious activity systems providing surveillance from a fixed point leading to reduced casualties and intruder intrusions. Features include pan tilt zoom, NLOS communication, thermal imaging, and laser range finder.",Defence
"LARGE FORCE DEPLOYMENT MISSION SIMULATOR","Advanced simulation environment for large-scale multi-unit operations involving air, land, naval, and space assets with joint mission execution capabilities. Features include massive multi-platform engagement, distributed and networked training, realistic combat environment, mission command and C2 integration, and comprehensive database systems.",Defence
"DIGITAL TWIN - TRAINING SIMULATOR","AR and VR enabled training and maintenance of critical systems. Augmented and virtual reality solutions for engines, aircrafts, radars, helicopters, submarines, ships, satellites and UAVs with 75% improved retention and 40% reduced learning time. Features include augmented reality visualization, audio commands integration, digital checklists and data logs, cloud based integration, and multiple trainees access.",Defence
"HELICOPTER SIMULATOR","6 DOF Helicopter Simulator combining physics accuracy, realistic cockpit interaction, immersive visuals, motion cues, and instructor tools for complete training ecosystem. Features include six degrees of freedom flight dynamics, high-fidelity cockpit environment, visual and motion cueing systems, emergency and failure training, and performance monitoring with instructor station.",Defence
"AI GENERATED FORCES FOR PILOT TRAINING","AI-generated forces in flight simulation bring in combat threats, environmental hazards, and operational stressors, giving pilots a battlefield-realistic training experience. Features include AI-based opponent for target detection, training for missile approach warning, AI integrated radar and weapon systems, mission planning and engagement strategies, and instructor feedback and analysis.",Defence
"PARACHUTE SIMULATOR","Advanced training system providing realistic and immersive parachute jump experiences in a completely controlled environment. Replicates real-life skydiving scenarios including aircraft exit, free fall dynamics, canopy deployment, steering control, and landing procedures. Features include realistic free-fall physics, canopy deployment simulation, steering and control training, emergency scenario training, 360-degree immersive visual environment, performance analytics, and adjustable altitude/weather/terrain/mission profiles.",Defence
"RADAR SIMULATOR","Advanced training systems for RADARS, IFF, and Weapon Systems with AI-enabled target detection and missile approach warning capabilities. Features include AI enabled target detection, missile approach warning, radar systems PTT, weapon systems PTT, and IFF systems PTT.",Defence
"COMBAT SIMULATOR","Combat simulator for military applications helps to train soldiers enabling better decision making and faster response time. Features include decision making for troops, teamwork and coordination training, instructor-based response feedback, and scenario familiarity.",Defence
"RADIO SIMULATOR","Advanced interactive training and communication simulation platform replicating real-world radio communication environments. Features include multi-user interactive communication platform, real-time voice and signal simulation, frequency tuning and interference effects, scalability for individual and team-based operations, and environmental communication impact simulation.",Defence
"DRONE SIMULATOR","Advanced virtual training and simulation platform replicating real-world drone operations in a safe, controlled, and highly immersive environment. Features include advanced flight physics and environmental simulation, real-time mission and navigation training, VR-enabled immersive simulation support, weather/terrain/obstacle simulation, and mission planning and performance analysis tools.",Defence
"INDIGENISATION","Undertaking indigenisation activities, along with joint collaboration activities, contract manufacturing, and prototype defence projects. Features include software development, proof of concept, rapid prototyping, contract manufacturing, and joint development.",Defence
"AR ENABLED MAINTENANCE (AREM)","AR Enabled Maintenance for use in maintenance activities and training advancement for soldiers and technicians. Features include multiple source integration, voice and audio assistance, digital data records, and AI enabled tech support.",Defence
"Holistic Healing Travel","Travel far, heal deeply, and find comfort in the journey. Caravans thoughtfully designed to provide ultimate comfort, featuring modern interiors, air conditioning, cozy beds, a fully-equipped kitchenette, and clean washrooms. Perfect for family getaways or group adventures, accommodating up to 4 adults and 2 children. Includes telemedicine portal with 24/7 health support via virtual consultations, air suspension, solar panels, 24/7 roadside assistance, first aid kit, fire extinguisher, GPS navigation, and emergency lights.",Medical
"Advanced Cancer Detection Vehicle","State-of-the-art mobile cancer detection units bringing life-saving screenings directly to communities. Equipped with mammography, MRI, ultrasound, and biopsy equipment for thorough cancer detection. Telemedicine capabilities enable remote consultations with leading oncologists. On-site labs for immediate test processing. Solar-powered eco-friendly design. Patient-centered comfort with washroom, doctor's cabin, and accessibility options. Expandable design for consultations and community education.",Medical
"Dental Van","Cutting-edge mobile dental clinic on TATA 1109 chassis. Bridges the gap in dental services for schools, corporate campuses, and rural communities. Fully equipped with advanced tools and technology for comprehensive dental care. Affordable and convenient mobile dental care solutions.",Medical
"Blood Collection Van","Mobile unit bringing essential blood collection services directly to communities. Features comfortable seating, medical equipment, and blood storage for safe collection. Designed for urban and rural outreach with fast, easy collection. Customizable for donation drives, hospitals, and community programs. Meets all medical hygiene standards with real-time data monitoring and on-board refrigeration.",Medical
"Mobile X-Ray Van","Equipped with advanced digital X-ray technology and telemedicine tools for accurate imaging and remote specialist consultation. Built for remote areas with reliable on-board power and water systems. Features include crystal-clear imaging with advanced digital X-ray machine, fast high-quality imaging processing unit, portable and compact design, patient comfort with ergonomic seating and privacy screens.",Medical
"Advanced Life Support (ALS) Ambulance","Equipped with ventilators, monitors, and defibrillators. Provides ICU-level care and patient comfort. Features GPS and two-way communication. Durable compliant design with customizable interiors.",Medical
"Maruti Suzuki Eeco Ambulance","Compact design for all terrains. Equipped with basic life support. Features comfortable stretcher and seating, durable anti-slip interiors, and customizable layouts.",Medical
"Basic Life Support (BLS) Ambulance","Equipped with oxygen cylinders and first aid kits. Features comfortable stretcher and secure seating, anti-slip flooring for safety, GPS and basic communication systems, and customizable interior layouts.",Medical
"Telemedicine Portal","Platform revolutionizing healthcare by making it more accessible, efficient, and collaborative. Bridges the gap between hospitals, healthcare professionals, and patients through advanced technology. Features role-based access for hospitals (role management, team oversight, streamlined operations), doctors (virtual consultations, appointment management, integrated prescription creation), health officers (patient management, pre-consultation workflow, daily tasks), and patients (health tracking, prescription access, comprehensive health records).",Medical
"Nutrify India Now 2.0","Comprehensive health and fitness app developed in collaboration with ICMR-NIN designed to transform how you manage your health. Features include activity tracking (steps, calories, workouts), body metrics monitoring (weight, BMI, body fat), smartwatch integration with Google Fit, personalized goals and reminders, water intake tracking, sleep monitoring, wake-up and sleep reminders, nutrient health calculators, secure data management, NIN publication purchase, and personalized dashboard.",Medical
"AI Skin Care Application","Cutting-edge solution that revolutionizes skin care. Upload a photo and AI analyzes skin to assess condition severity. Provides treatment suggestions and doctor recommendations for serious issues with direct calling capability. Features include AI skin analysis, severity detection, personalized treatment suggestions, doctor recommendations, direct doctor call, user-friendly interface, secure data management, and 24/7 skin health monitoring.",Medical
"AR/VR-Based Nursing Simulator","Immersive realistic environments for healthcare training, allowing professionals to practice procedures like patient care and surgeries in a risk-free setting. Features precise anatomical models, real-time feedback, and customizable modules. Benefits include enhanced learning, safe environment, realistic scenarios, skill mastery, instant feedback, improved competence, flexible learning, faster response time, collaboration enhancement, and efficient resource use.",Medical
"AR/VR-Based Dental Simulators","Immersive interactive training for dental procedures like fillings, extractions, and root canals. Features realistic 3D models, safe practice environment, real-time feedback, customizable scenarios, enhanced precision, remote access, cost-effectiveness, and confidence building for real-world clinical scenarios.",Medical